job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Lojistik Müdürü, 8.010, 3.520, 12.490,Endüstri Mühendisliði, Ýþletme, Ýktisat, Makine Mühendisliði, Kamu Yönetimi, Taþýmacýlýk, Otomotiv, Gýda, Yapý, Kimya, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Uludað Üniversitesi, Marmara Üniversitesi, Bütçe planlama ve raporlama,Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,111,
Lojistik Mühendisi, 4.570, 2.750, 6.550,Endüstri Mühendisliði, Makine Mühendisliði, Metalurji ve Malzeme Mühendisliði, Kimya Mühendisliði, Ýþletme, Otomotiv, Taþýmacýlýk, Üretim / Endüstriyel Ürünler, Gýda, Yapý, Uludað Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Eskiþehir Osmangazi Üniversitesi, Sakarya Üniversitesi, Anadolu Üniversitesi, 5S,AutoCAD,CATIA,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,35,
Lojistik Operasyon Sorumlusu, 3.040, 2.020, 4.130,Lojistik (MYO), Ýþletme, Dýþ Ticaret (MYO), Ýktisat, Lojistik Yönetimi, Taþýmacýlýk, Gýda, Otomotiv, Üretim / Endüstriyel Ürünler, Ticaret, Anadolu Üniversitesi, Dumlupýnar Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Dýþ Ticaret,ERP Lojistik,19,
Lojistik Operasyon Uzmaný, 3.530, 2.500, 4.960,Lojistik (MYO), Ýþletme, Lojistik Yönetimi, Endüstri Mühendisliði, Dýþ Ticaret (MYO), Taþýmacýlýk, Gýda, Ticaret, Üretim / Endüstriyel Ürünler, Tekstil, Anadolu Üniversitesi, Kocaeli Üniversitesi, Dumlupýnar Üniversitesi, Balýkesir Üniversitesi, Ýstanbul Arel Üniversitesi, Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Dýþ Ticaret,19,
Lojistik Planlama Uzmaný, 6.220, 4.030, 8.410,Endüstri Mühendisliði, Ýþletme, Lojistik (MYO), Uluslararasý Ýliþkiler, Ýstatistik, Taþýmacýlýk, Otomotiv, Gýda, Maden ve Metal Sanayi, Tekstil, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Dumlupýnar Üniversitesi, Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Lojistik Planlama,MRP1 (Malzeme Ýhtiyaç Planlamasý),MRP2 (Ýmalat Kaynak Planlamasý),7,
Lojistik Uzmaný, 3.910, 2.020, 5.940,Ýþletme, Endüstri Mühendisliði, Lojistik (MYO), Uluslararasý Ýliþkiler, Ýktisat, Taþýmacýlýk, Otomotiv, Saðlýk, Enerji, Gýda, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Marmara Üniversitesi, Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,ERP Lojistik,159,
Maden Mühendisi, 4.490, 2.610, 6.380,Maden Mühendisliði, Maden (MYO), Mermer Teknolojisi (MYO), Ýþletme, Ýnþaat (MYO), Maden ve Metal Sanayi, Yapý, Hizmet, Enerji, Üretim / Endüstriyel Ürünler, Çukurova Üniversitesi, Cumhuriyet Üniversitesi, Süleyman Demirel Üniversitesi, Dumlupýnar Üniversitesi, Selçuk Üniversitesi, AutoCAD,ÝSÝG (Ýþçi Saðlýðý ve Ýþ Güvenliði) Mevzuatý,Ýþçi Saðlýðý ve Ýþ Güvenliði,Madencilik,NETCAD,233,
Maden Teknikeri, 4.180, 2.890, 5.470,Maden (MYO), Ýþletme, Maden Mühendisliði, Makine, Bilgisayar Teknolojisi ve Programlama (MYO), Maden ve Metal Sanayi, Yapý, Üretim / Endüstriyel Ürünler, Enerji, Gýda, Manisa Celal Bayar Üniversitesi, Balýkesir Üniversitesi, Çanakkale 18 Mart Üniversitesi, Bülent Ecevit Üniversitesi, Cumhuriyet Üniversitesi, AutoCAD,NETCAD,Stok Yönetimi,-, -, 20,
Maden Yüksek Mühendisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Maðaza Görevlisi, 2.800, 2.200, 3.430,Ýþletme, Ýktisat, Kamu Yönetimi, Ýþletme Yönetimi, Bilgisayar Teknolojisi ve Programlama (MYO), Ticaret, Tekstil, Gýda, Perakende, Hizmet, Anadolu Üniversitesi, Süleyman Demirel Üniversitesi, Dumlupýnar Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Genel Muhasebe,Ýstatistiksel analiz,Muhasebe,Satýþ Yönetimi,-, 36,
Maðaza Görsel Sorumlusu, 2.500, 2.020, 3.020,Ýþletme, Ýþletme Yönetimi, Kamu Yönetimi, Dýþ Ticaret (MYO), Ýktisat, Tekstil, Perakende, Ticaret, Ev Eþyalarý, Gýda, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Dumlupýnar Üniversitesi, Selçuk Üniversitesi, Adobe Photoshop,Nebim,Nebim V3,-, -, 54,
Maðaza Müdür Yardýmcýsý, 2.770, 2.020, 3.550,Ýþletme, Kamu Yönetimi, Ýktisat, Ýþletme Yönetimi, Muhasebe (MYO), Tekstil, Ticaret, Perakende, Gýda, Kimya, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Depo Ve Stok Yönetimi,Nebim,Nebim V3,Nebim Winner,SAP,565,
Maðaza Müdürü, 3.370, 2.240, 4.490,Ýþletme, Kamu Yönetimi, Ýktisat, Halkla Ýliþkiler, Perakende Satýþ ve Maðaza Yönetimi  (MYO), Tekstil, Perakende, Ticaret, Gýda, Telekomünikasyon, Anadolu Üniversitesi, Selçuk Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Süleyman Demirel Üniversitesi, Kocaeli Üniversitesi, Depo Ve Stok Yönetimi,Nebim,Nebim V3,Nebim Winner,SAP,1667,
Maðaza Satýþ Danýþmaný, 2.340, 2.020, 2.770,Ýþletme, Ýktisat, Dýþ Ticaret (MYO), Kamu Yönetimi, Uluslararasý Ýliþkiler, Tekstil, Ticaret, Ev Eþyalarý, Perakende, Mobilya & Aksesuar, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Uludað Üniversitesi, Akdeniz Üniversitesi, Adobe Photoshop,-, -, -, -, 223,
Maðaza Yöneticisi / Yönetmeni, 3.180, 2.220, 4.130,Ýþletme, Kamu Yönetimi, Ýktisat, Muhasebe (MYO), Bilgisayar Teknolojisi ve Programlama (MYO), Tekstil, Perakende, Ticaret, Gýda, Elektrik & Elektronik, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Selçuk Üniversitesi, Kocaeli Üniversitesi, Süleyman Demirel Üniversitesi, Depo Ve Stok Yönetimi,Müþteri Hizmetleri Operasyon Yönetimi,Nebim Winner,Satýþ Yönetimi,STOK TAKÝBÝ,76,
Makam Þoförü, 3.730, 2.380, 5.080,Ýþletme, Kamu Yönetimi, Otomotiv (MYO), Ýktisat, Halkla Ýliþkiler, Yapý, Taþýmacýlýk, Turizm, Hizmet, Tekstil, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, Atatürk Üniversitesi, Src 2,Src 4,-, -, -, 589,
Makine Enerji Müdürü, 6.750, 3.000, 10.830,Makine Mühendisliði, Elektrik/Elektronik Mühendisliði, Elektrik (MYO), Elektrik Mühendisliði, Makine, Tekstil, Kimya, Gýda, Ev Eþyalarý, Enerji, Yýldýz Teknik Üniversitesi (YTÜ), Trakya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, Pamukkale Üniversitesi, Anadolu Üniversitesi, AutoCAD,Gýda Mevzuatý,GMP,Isýtma,Ýþçi Saðlýðý ve Ýþ Güvenliði,12,
Makine Enspektörü, 3.750, 2.020, 6.820,Gemi Makineleri Ýþletme Mühendisliði, Gemi Makineleri Ýþletme (MYO), Makine Mühendisliði, Gemi Makineleri (MYO), Makine (MYO), Denizcilik, Üretim / Endüstriyel Ürünler, Taþýmacýlýk, Tekstil, Gýda, Ýstanbul Teknik Üniversitesi (ÝTÜ), Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Karadeniz Teknik Üniversitesi (KTÜ), Deniz Harp Okulu, 3D Computer Graphics,AutoCAD,Hidrolik,Makina Bakým,Makina Montaj,10,
Makine Montaj Elemaný, 3.220, 2.130, 4.320,Makine (MYO), Makine, Otomotiv (MYO), Mekatronik (MYO), Ýþletme, Biliþim, Üretim / Endüstriyel Ürünler, Otomotiv, Maden ve Metal Sanayi, Elektrik & Elektronik, Anadolu Üniversitesi, Uludað Üniversitesi, Kocaeli Üniversitesi, Selçuk Üniversitesi, Sakarya Üniversitesi, AutoCAD,Kaynak bilgisi,SOLIDWORKS,Salary Review,Bilgisayar,15,
Makine Mühendisi, 3.870, 2.020, 5.800,Makine Mühendisliði, Makine, Makine (MYO), Ýklimlendirme-Soðutma (MYO), Otomotiv (MYO), Yapý, Üretim / Endüstriyel Ürünler, Enerji, Hizmet, Maden ve Metal Sanayi, Yýldýz Teknik Üniversitesi (YTÜ), Sakarya Üniversitesi, Selçuk Üniversitesi, Erciyes Üniversitesi, Kocaeli Üniversitesi, Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,Autodesk Inventor,1477,
Makine Operatörü, 3.580, 2.020, 5.650,Makine (MYO), Makine, Elektrik (MYO), Otomotiv (MYO), Ýþletme, Tekstil, Üretim / Endüstriyel Ürünler, Kimya, Otomotiv, Gýda, Anadolu Üniversitesi, Kocaeli Üniversitesi, Manisa Celal Bayar Üniversitesi, Sakarya Üniversitesi, Uludað Üniversitesi, Ticaret,Salary Review,Fitnes  1 Yýl,ÇAYCUMA 2002-23 NÝSAN SATRANÇ 16 YAÞ ÜÇÜNCÜSÜ,Bilgisayar,3,
Makine Ressamý, 3.790, 2.020, 5.720,Makine-Resim-Konstrüksiyon (MYO), Makine (MYO), Makine, Makina Resim Konstrüksiyon, Makine Resim ve Konstrüksiyon , Üretim / Endüstriyel Ürünler, Biliþim, Maden ve Metal Sanayi, Yapý, Otomotiv, Selçuk Üniversitesi, Anadolu Üniversitesi, Sakarya Üniversitesi, Mehmet Akif Ersoy Üniversitesi, Dokuz Eylül Üniversitesi, 3D Studio Max,AutoCAD,Autodesk Inventor,CAD/CAM,CATIA,30,
Makine Teknikeri, 3.450, 2.100, 4.800,Makine (MYO), Makine, Makine-Resim-Konstrüksiyon (MYO), Ýþletme, Otomotiv (MYO), Üretim / Endüstriyel Ürünler, Yapý, Biliþim, Maden ve Metal Sanayi, Otomotiv, Kocaeli Üniversitesi, Selçuk Üniversitesi, Sakarya Üniversitesi, Manisa Celal Bayar Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), 2D Autocad,AutoCAD,Autodesk Inventor,CAD/CAM,CATIA,146,
Makine Teknisyeni, 3.340, 2.020, 4.930,Makine (MYO), Makine, Mekatronik (MYO), Otomotiv (MYO), Ýþletme, Üretim / Endüstriyel Ürünler, Biliþim, Enerji, Otomotiv, Maden ve Metal Sanayi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Gazi Üniversitesi, Dumlupýnar Üniversitesi, Trakya Üniversitesi, 2D Autocad,AutoCAD,Bilgisayar Destekli Tasarým Araçlarý,CNC,Cnc Freze,22,
Makine Yüksek Mühendisi, 8.090, 6.430, 9.760,Makine Mühendisliði, Makine, Endüstri Mühendisliði, Talaþlý Üretim Öðretmenliði, Elektrik/Elektronik Mühendisliði, Enerji, Yapý, Hizmet, Üretim / Endüstriyel Ürünler, Otomotiv, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), Fýrat Üniversitesi, Gazi Üniversitesi, Kocaeli Üniversitesi, 5S,Ansys,Ansys Fluent,Ansys Workbench,AutoCAD,7,
Makinist, 3.220, 2.020, 4.610,Makine (MYO), Elektrik (MYO), Otomotiv (MYO), Ýþletme, Endüstriyel Elektronik (MYO), Taþýmacýlýk, Eðlence - Kültür - Sanat, Gýda, Tekstil, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Ege Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, AutoCAD,Elektrik Elektronik,Elektrik/Elektronik,SOLIDWORKS,-, 20,
Makyaj Uzmaný, 2.610, 2.020, 3.310,Ýþletme, Cilt Bakýmý ve Güzellik (MYO), Halkla Ýliþkiler, Kamu Yönetimi, Turizm ve Otel Ýþletmeciliði (MYO), Kimya, Saðlýk, Eðlence - Kültür - Sanat, Medya, Hizmet, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Kozmetik,Satýþ Yönetimi,-, -, -, 18,
Makyöz, 3.110, 2.500, 3.840,Cilt Bakýmý ve Güzellik (MYO), Ýþletme, Saç Bakýmý ve Güzellik Hizmetleri, Dýþ Ticaret (MYO), Ýþletme Yönetimi, Kimya, Saðlýk, Medya, Eðlence - Kültür - Sanat, Hizmet, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Kocaeli Üniversitesi, Makyaj,Resim,Satýþ ve Pazarlama,Spor,Bilgisayar,17,
Mal Müdürü, -, -, -, Tekstil Mühendisliði, Ýþletme, Ekonometri, Endüstri Mühendisliði, Ýktisat, Tekstil, Perakende, Ticaret, Gýda, Yapý, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Anadolu Üniversitesi, Ege Üniversitesi, 3D Modeling,Dýþ Ticaret,Elektrik/Elektronik,Product Development,SAP,-,
Mali Analist, 5.830, 2.900, 8.760,Ýþletme, Ýktisat, Maliye, Ýþletme (Ýngilizce), Uluslararasý Ýliþkiler, Finans - Ekonomi, Hizmet, Danýþmanlýk, Biliþim, Topluluklar, Marmara Üniversitesi, Gazi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Hacettepe Üniversitesi, Dokuz Eylül Üniversitesi, Bankacýlýk/Finans,Bilanço analizi,Finans,Finansal Analiz,Finansal Raporlama,18,
Mali Danýþman, -, -, -, Ýþletme, Ýktisat, Maliye, Muhasebe, Kamu Yönetimi, Hizmet, Danýþmanlýk, Biliþim, Yapý, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Gazi Üniversitesi, Dokuz Eylül Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Finansal Analiz,Finansal Raporlama,Finansman ve Bütçe,-,
Mali Ýþler Direktörü, 11.250, 6.000, 16.530,Ýþletme, Ýktisat, Ekonomi, Maliye, Ýþletme (Ýngilizce), Yapý, Gýda, Topluluklar, Hizmet, Tekstil, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Boðaziçi Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,66,
Mali Ýþler Koordinatörü, 9.590, 7.380, 12.500,Ýþletme, Ýktisat, Maliye, Muhasebe, Ekonomi, Yapý, Enerji, Turizm, Topluluklar, Tekstil, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Uludað Üniversitesi, Finansal Raporlama,Genel Muhasebe,Logo Tiger,Mali tablolar analizi,Maliyet Muhasebesi,9,
Mali Ýþler Müdürü, 8.860, 4.280, 13.440,Ýþletme, Ýktisat, Maliye, Muhasebe, Muhasebe (MYO), Yapý, Turizm, Gýda, Tekstil, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Uludað Üniversitesi, Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Finansal Raporlama,283,
Mali Ýþler Sorumlusu, 4.230, 2.190, 6.400,Ýþletme, Ýktisat, Muhasebe (MYO), Muhasebe, Maliye, Yapý, Hizmet, Taþýmacýlýk, Gýda, Tekstil, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Marmara Üniversitesi, Gazi Üniversitesi, Bilanço analizi,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,ETA,Finans,47,
Mali Ýþler Uzman yardýmcýsý, 3.420, 2.330, 4.510,Ýþletme, Ýktisat, Maliye, Muhasebe (MYO), Çalýþma Ekonomisi ve Endüstri Ýliþkileri, Hizmet, Finans - Ekonomi, Otomotiv, Taþýmacýlýk, Yapý, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Uludað Üniversitesi, Sakarya Üniversitesi, Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,CRM,ETA,Finans,34,
Mali Ýþler Uzmaný, 4.920, 2.620, 7.220,Ýþletme, Ýktisat, Muhasebe (MYO), Muhasebe, Maliye, Hizmet, Yapý, Taþýmacýlýk, Enerji, Otomotiv, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Kocaeli Üniversitesi, Trakya Üniversitesi, Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,ETA,Finans,78,
Mali Ýþler Yöneticisi, 7.090, 3.790, 10.380,Ýþletme, Ýktisat, Maliye, Muhasebe, Muhasebe (MYO), Yapý, Hizmet, Finans - Ekonomi, Otomotiv, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Gazi Üniversitesi, Bilanço analizi,-, -, -, -, 36,
Mali Kontrol Uzmaný, 3.860, 2.700, 5.010,Ýþletme, Ýktisat, Ýktisat (Ýngilizce), Ýþletme (Ýngilizce), Maliye, Finans - Ekonomi, Otomotiv, Havacýlýk, Hizmet, Telekomünikasyon, Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Bankacýlýk/Finans,Data Analysis,Finans,Finansal planlama/kontrol,Finansal Raporlama,7,
Mali Müþavir, 5.140, 2.770, 7.510,Ýþletme, Ýktisat, Muhasebe (MYO), Maliye, Muhasebe, Hizmet, Yapý, Danýþmanlýk, Tekstil, Gýda, Anadolu Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finansal Analiz,Finansal Raporlama,311,
Mali Tahlil Uzmaný, -, -, -, Ýþletme, Ýktisat, Ýktisat (Ýngilizce), Ýþletme (Ýngilizce), Maliye, Finans - Ekonomi, Enerji, Yapý, Saðlýk, Medya, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Gazi Üniversitesi, Analiz Yöntemleri,Bankacýlýk/Finans,Bilanço analizi,Finansal Analiz,Finansal Raporlama,-,
Mali Tahlil ve Ýstihbarat Uzmaný, 6.380, 3.600, 10.500,Ýktisat, Ýþletme, Maliye, Kamu Yönetimi, Uluslararasý Ýliþkiler, Finans - Ekonomi, Danýþmanlýk, Üretim / Endüstriyel Ürünler, Maden ve Metal Sanayi, Topluluklar, Gazi Üniversitesi, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Bankacýlýk/Finans,Bilanço analizi,Finans,Finansal Analiz,Finansal Raporlama,5,
Mali ve Ýdari Ýþler Müdürü, 7.430, 3.950, 10.920,Ýþletme, Ýktisat, Maliye, Muhasebe (MYO), Muhasebe, Yapý, Gýda, Otomotiv, Maden ve Metal Sanayi, Hizmet, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Uludað Üniversitesi, Dokuz Eylül Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,Finans,46,
Maliyet Kontrol Mühendisi, 6.570, 3.180, 9.960,Ýnþaat Mühendisliði, Endüstri Mühendisliði, Makine Mühendisliði, Kimya Mühendisliði, Çevre Mühendisliði, Yapý, Enerji, Otomotiv, Üretim / Endüstriyel Ürünler, Hizmet, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Sakarya Üniversitesi, Eskiþehir Osmangazi Üniversitesi, AutoCAD,Bütçe planlama ve raporlama,Finansal planlama/kontrol,Hakediþ Düzenlenmesi,Maliyet Analizleri,22,
Maliyet Muhasebesi Uzmaný, 5.070, 2.980, 7.160,Ýþletme, Ýktisat, Muhasebe (MYO), Endüstri Mühendisliði, Muhasebe, Otomotiv, Gýda, Üretim / Endüstriyel Ürünler, Tekstil, Kimya, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Bütçe planlama ve raporlama,ERP,Finansal Raporlama,Genel Muhasebe,Mali Tablolar Raporlama,52,
Malzeme Mühendisi, 4.560, 2.500, 7.160,Metalurji ve Malzeme Mühendisliði, Malzeme Bilimi ve Mühendisliði, Kimya Mühendisliði, Kimya, Ýnþaat Mühendisliði, Üretim / Endüstriyel Ürünler, Otomotiv, Havacýlýk, Maden ve Metal Sanayi, Hizmet, Orta Doðu Teknik Üniversitesi (ODTÜ), Afyon Kocatepe Üniversitesi, Anadolu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Ýstanbul Teknik Üniversitesi (ÝTÜ), 3D Tasarým ve Modelleme Uygulamasý,Adobe Photoshop,Analiz Yöntemleri,AutoCAD,CATIA,17,
Malzeme Planlama Mühendisi, 5.040, 2.500, 7.650,Endüstri Mühendisliði, Makine Mühendisliði, Metalurji ve Malzeme Mühendisliði, Kimya Mühendisliði, Endüstri Sistemleri Mühendisliði, Otomotiv, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Ev Eþyalarý, Havacýlýk, Eskiþehir Osmangazi Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, 5S,AutoCAD,Ýþ ve süreç analizi,MATLAB,MRP1 (Malzeme Ýhtiyaç Planlamasý),48,
Mamografi Teknisyeni, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Manikürist, 2.890, 2.500, 3.530,Cilt Bakýmý ve Güzellik (MYO), Ýþletme, El Sanatlarý, Halkla Ýliþkiler ve Tanýtým, Týbbi ve Aromatik Bitkiler (MYO), Saðlýk, Hizmet, Kimya, Ticaret, Turizm, Anadolu Üniversitesi, Ýstanbul Bilgi Üniversitesi, Akdeniz Üniversitesi, Niþantaþý Üniversitesi, Beykoz Lojistik M.Y.O, Ýkna Kabiliyeti Yüksek,Özverili Çalýþma,•	Deadline And Target Driven,Makyaj,Ekip Çalýþmasýna Yatkýn,4,
Manken, 2.500, 2.020, 3.110,Ýþletme, Spor Yöneticiliði, Halkla Ýliþkiler, Moda Tasarýmý, Beden Eðitimi ve Spor Öðretmenliði, Reklam ve Tanýtým, Tekstil, Turizm, Medya, Biliþim, Anadolu Üniversitesi, Ýstanbul Aydýn Üniversitesi, Akdeniz Üniversitesi, Ýstanbul Bilgi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), CorelDraw,Halkla Ýliþkiler,-, -, -, 4,
Marka Danýþmaný, 3.390, 2.020, 5.740,Ýþletme, Kamu Yönetimi, Halkla Ýliþkiler ve Tanýtým, Uluslararasý Ýliþkiler, Biyoloji, Hizmet, Danýþmanlýk, Reklam ve Tanýtým, Tekstil, Biliþim, Anadolu Üniversitesi, Kocaeli Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Sakarya Üniversitesi, Adobe Illustrator,Adobe Photoshop,Digital marketing,Dijital Pazarlama,Google Adwords Kampanya Yönetimi,18,
Marka Direktörü, 5.290, 4.000, 7.570,Ýþletme, Halkla Ýliþkiler ve Reklamcýlýk, Halkla Ýliþkiler ve Tanýtým, Uluslararasý Ýliþkiler, Halkla Ýliþkiler, Reklam ve Tanýtým, Tekstil, Kimya, Danýþmanlýk, Medya, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Yeditepe Üniversitesi, Anadolu Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Advertising,Business Marketing,Digital marketing,Integrated Marketing,Marka Yönetimi,11,
Marka Elçisi, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Marka Ýletiþim Uzmaný, 5.740, 3.250, 9.170,Ýþletme, Halkla Ýliþkiler ve Tanýtým, Halkla Ýliþkiler ve Reklamcýlýk, Ýþletme (Ýngilizce), Uluslararasý Ýliþkiler, Reklam ve Tanýtým, Perakende, Kimya, Hýzlý Tüketim Mallarý, Üretim / Endüstriyel Ürünler, Ýstanbul Üniversitesi (ÝÜ), Anadolu Üniversitesi, Boðaziçi Üniversitesi, Yeditepe Üniversitesi, Marmara Üniversitesi, Bütçe planlama ve raporlama,CRM,Dijital Pazarlama,Google Analytics,Pazarlama Stratejisi,6,
Marka Müdürü, 8.480, 3.940, 13.010,Ýþletme, Endüstri Mühendisliði, Ýþletme (Ýngilizce), Uluslararasý Ýliþkiler, Ekonomi, Hýzlý Tüketim Mallarý, Gýda, Tekstil, Kimya, Saðlýk, Boðaziçi Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Koç Üniversitesi, Adobe Photoshop,Dijital Pazarlama,Fiyat Analizleri,Marketing,Marketing communications,57,
Marka Sorumlusu, 5.430, 5.040, 5.820,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Uluslararasý Ýliþkiler, Çalýþma Ekonomisi ve Endüstri Ýliþkileri, Tekstil, Reklam ve Tanýtým, Ticaret, Gýda, Maden ve Metal Sanayi, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Selçuk Üniversitesi, Adobe Illustrator,Adobe Photoshop,Depo Stok Takibi,Dijital Pazarlama,Marketing,7,
